"FE","ShortName","Name","State","Cropland_dest","Pasture_dest","ForestPlantation_dest","Cropland_ori","Pasture_ori","ForestPlantation_ori","tland_dest","tland_ori","p_tland","cropland_shock","pasture_shock","forestplantation_shock","index","GID"
24,"RN","Rio Grande do Norte","Rio Grande do Norte",971531.586928307,1360438.78244359,0,881593.291153541,1526361.59724602,0,2331970.36937189,2407954.88839956,-3.15556239835401,10.201789949772,-10.8704788630558,0,11,"G000011"
25,"PB","Paraíba","Paraiba",650048.055243283,1858685.17434482,561.557605218508,541726.627344216,1956366.84282198,568.55040863037,2509294.78719332,2498662.02057482,0.425538409394483,19.9955886292883,-4.99301390409252,-1.22993551771569,12,"G000012"
26,"PE","Pernambuco","Pernambuco",1407952.92941699,3153915.45726699,42.8756010925293,1461613.69805332,3275265.28135148,94.9518759948731,4561911.26228507,4736973.93128079,-3.69566460646294,-3.67133728342838,-3.70503802471894,-54.8449141806905,13,"G000013"
27,"AL","Alagoas","Alagoas",640994.210106361,1482680.68268639,22.663753302002,619016.639034685,1527289.55645627,109.011812225342,2123697.55654605,2146415.20730318,-1.05839963674465,3.55040069778232,-2.92078693141766,-79.2098187899555,14,"G000014"
28,"SE","Sergipe","Sergipe",255731.502677033,1509787.90546898,2130.76461337892,378358.008569039,1383907.4554408,4169.17172147223,1767650.1727594,1766434.63573131,0.0688130205044547,-32.410178485658,9.09601646651207,-48.8923758547778,15,"G000015"
29,"BA","Bahia","Bahia",7860292.93885799,16258663.3193937,535100.888702816,8323838.11387353,16499268.0599558,603508.870029236,24654057.1469545,25426615.0438586,-3.03838279523842,-5.56888743719011,-1.4582752379549,-11.3350415749657,16,"G000016"
31,"MG","Minas Gerais","Minas Gerais",11879170.4693,23023243.7973309,1555537.10332294,12449669.6463319,22530485.8720491,1755604.38085734,36457951.3699539,36735759.8992384,-0.756234606406757,-4.58244429963668,2.18707189929315,-11.3959203859298,17,"G000017"
32,"ES","Espírito Santo","Espirito Santo",1019635.10811236,2166883.49201835,162717.992305956,1051234.17380749,2150554.75547767,157537.605073076,3349236.59243667,3359326.53435824,-0.300356092757568,-3.00590168037227,0.75928020428631,3.28834961689129,18,"G000018"
33,"RJ","Rio de Janeiro","Rio de Janeiro",775570.672972717,1897021.8261302,4635.12626732178,726647.331553761,1905699.84966941,5938.43140259398,2677227.62537024,2638285.61262577,1.47603476129021,6.73274906471415,-0.455372001037591,-21.9469595068977,19,"G000019"
35,"SP","São Paulo","Sao Paulo",11828006.0862927,5752207.83971138,790854.167138713,12307911.8751928,5017955.66383574,882014.56862706,18371068.0931428,18207882.1076556,0.896238148524756,-3.89916497425815,14.6324962806542,-10.3354757087796,20,"G000020"
41,"PR","Paraná","Parana",9570084.30245272,3443522.96327259,898204.270194559,9601773.83921574,3138482.4959354,1019288.64366421,13911811.5359199,13759544.9788153,1.10662494536676,-0.330038358470674,9.71936175308444,-11.8793017289361,21,"G000021"
42,"SC","Santa Catarina","Santa Catarina",2923974.23334724,1000791.47972183,875207.961896967,2896497.7248414,966431.413214574,948644.493403134,4799973.67496604,4811573.63145911,-0.241084463869123,0.94861143063198,3.55535488990001,-7.74120674465974,22,"G000022"
43,"RS","Rio Grande do Sul","Rio Grande do Sul",10412788.3337432,472740.340419731,966021.989702934,10969313.7227079,409941.638680157,1073602.90193476,11851550.6638659,12452858.2633229,-4.82867135192552,-5.07347499609416,15.3189370910845,-10.0205496872215,23,"G000023"
50,"MS","Mato Grosso do Sul","Mato Grosso do Sul",5333575.50710415,15112072.4722461,442746.80128658,6173997.99667111,13930575.9141484,845060.504343951,20888394.7806368,20949634.4151634,-0.292318392354891,-13.6122896382554,8.48131882973864,-47.6076802772485,24,"G000024"
51,"MT","Mato Grosso","Mato Grosso",10504435.6183256,21268175.9963248,86947.8711670595,12735135.364511,20062042.5964059,140656.134646924,31859559.4858174,32937834.0955638,-3.27366579908663,-17.5161055013334,6.01201694255667,-38.1840888878989,25,"G000025"
